city_id,city,state_id
948,Afton,9
949,Saint Paris,4
950,Salamanca,19
951,Salem,9
952,Salinas,3
953,Saline,6
954,Salisbury,28
955,Sanford,33
956,Santa Clara,3
957,Santa Rosa,3
958,Pace,7
959,Traverse City,6
960,Pine Bluff,30
961,Saranac Lake,19
962,Finley,3
963,Saugerties,19
964,Scituate,28
965,North Scituate,29
966,Scotch Plains,2
967,Scotland,32
968,Scottsville,19
969,Rollinsford,34
970,Sealy,14
971,Marshall,30
972,Seaside,16
973,Wanchese,43
974,"Sedalia, MO",18
975,Winston-Salem,43
976,Seneca Falls,19
977,De Queen,30
978,Seward,1
979,Shallotte,43
980,Shawano,21
981,Harlan,23
982,SHELBYVILLE,17
983,Shepherdsville,27
984,Shoreline,8
985,Shorewood,21
986,Shreveport,10
987,Siloam Springs,30
988,Silver City,48
989,Kellogg,31
990,Simi Valley,3
991,Sioux City,23
992,Sitka,50
993,Deming,48
994,Slippery Rock,11
995,San Luis Obispo,3
996,Carthage,13
997,Santa paula,3
998,Costa Mesa,3
999,sodus,19
1000,Bowling Green,27
1001,Solana Beach,3
1002,Somerset,11
1003,Somerville,28
1004,Naples,7
1005,Sewanee,13
1006,South Hill,9
1007,Wakefield,29
1008,South Lake Tahoe,3
1009,South Lyon,6
1010,South Milwaukee,21
1011,SOUTH ORANGE,2
1012,St. Joseph,18
1013,South Windsor,32
1014,Olean,19
1015,sturtevant,21
1016,Littleton,15
1017,Hillsville,9
1018,Detroit,6
1019,Walsenburg,15
1020,Sparks,44
1021,Speedway,17
1022,Spotsylvania,9
1023,Fredericksburg,9
1024,Springdale,30
1025,St. John,17
1026,St. Louis,6
1027,St. Maries,31
1028,St. Michaels,35
1029,Lakeville,20
1030,St Petersburg,7
1031,Tucson,47
1032,Stafford Springs,32
1033,Albemarle,43
1034,Stayton,16
1035,Shippensburg,11
1036,Steelville,18
1037,Stow,4
1038,Stowe,0
1039,Suffolk,9
1040,Sumter,26
1041,Timnath,15
1042,sunland park,48
1043,Sunnyvale,3
1044,Superior,47
1045,Surfside Beach,26
1046,Cedarville,3
1047,Austin,14
1048,Suttons Bay,6
1049,Suwanee,24
1050,Swarthmore,11
1051,Tampa,7
1052,Tahoe City,3
1053,RENO,44
1054,Taos,48
1055,Taylorsville,27
1056,Jaffrey,34
1057,Telluride,15
1058,Temple Terrace,7
1059,Tenino,8
1060,Hudsonville,6
1061,Terre Haute,17
1062,Cedar Park,14
1063,"Austin, TX",14
1064,Cullowhee,43
1065,Old Orchard Beach,33
1066,Berlin,35
1067,LANCASTER,3
1068,Greensboro,43
1069,cornwall n.y.,19
1070,Creede,15
1071,Louisville/Jefferson County metro government (balance),27
1072,Fairfield,4
1073,College Park,35
1074,Lyme,32
1075,Allamuchy,2
1076,Indian Shores,7
1077,Long Valley,2
1078,Amherst,9
1079,Green Lake,21
1080,"Petersburg, AK",50
1081,Birmingham,37
1082,Glen Rock,11
1083,Westminster,15
1084,Gresham,16
1085,Boyes Hot Springs,3
1086,St.james,20
1087,Little Falls,2
1088,Reno,44
1089,Londonderry,0
1090,Woodland,3
1091,Thief River Falls,20
1092,San Rafael,3
1093,Tigard,16
1094,Titusville,11
1095,"Tiverton, RI",29
1096,"Tontitown, AR",30
1097,Torrington,46
1098,Wauwatosa,21
1099,Wadley,37
1100,West Townshend,0
1101,Travelers Rest,26
1102,DuBois,11
1103,Cleveland,4
1104,Trout Creek,25
1105,Troy,19
1106,Meridianville,37
1107,Lakeport,3
1108,Tupelo,45
1109,Tuscaloosa,37
1110,Twin Bridges,25
1111,Sterling IL,5
1112,Two Rivers,21
1113,Union,26
1114,Blairsville,24
1115,Maynardville,13
1116,Upper Arlington,4
1117,Greenwood,26
1118,Westerville,4
1119,Urbana,23
1120,Frederick,35
1121,Utica,19
1122,Vashon,8
1123,Vermillion,41
1124,Rutland,0
1125,RUTLAND,0
1126,Nevada,18
1127,Vernon Hills,5
1128,Verona,9
1129,Vicksburg,6
1130,Victoria,14
1131,Constantine,6
1132,Lemont,5
1133,Skokie,5
1134,Vincennes,17
1135,O'Fallon,5
1136,Voluntown,32
1137,Voorheesville,19
1138,Wabasha,20
1139,Waco,14
1140,Wagoner,49
1141,Wahiawa,12
1142,Wahoo,1
1143,Pearl City,12
1144,Waiapahu,12
1145,Waimanalo,12
1146,Walnut Creek,3
1147,Ottumwa,23
1148,Gig Harbor,8
1149,Waterloo,19
1150,Watford City,39
1151,Waukon,23
1152,Waycross,24
1153,Wayland,6
1154,Torrey,40
1155,Waynesboro,9
1156,Waynesburg,11
1157,East Providence,29
1158,Webb City,18
1159,Webster Springs,36
1160,Webster,19
1161,Weiser,31
1162,Missouri Valley,23
1163,Wellfleet,28
1164,Moreauville,10
1165,West Haven,32
1166,West Lafayette,17
1167,West Orange,2
1168,West Plains,18
1169,West Point,1
1170,Village of Highland Falls,19
1171,West Warwick,29
1172,Peoria,47
1173,Westcliffe,15
1174,Westerly,29
1175,Rainelle,36
1176,Westfield,28
1177,Westland,6
1178,Lansing,6
1179,Weymouth,28
1180,White House,13
1181,Pinetop-Lakeside,47
1182,Corbin,27
1183,Williamsburg,27
1184,Lubbock,14
1185,North Wilkesboro,43
1186,Wilkinsburg,11
1187,Williamson,36
1188,Winchester,28
1189,CORNV,47
1190,Winnsboro,14
1191,Oak Ridge,13
1192,"Green Bay, WI",21
1193,Wisconsin Rapids,21
1194,Wise,9
1195,Asheville,43
1196,Campton,27
1197,Wolfeboro,34
1198,Wolfforth,14
1199,Midway,27
1200,VERSAILLES,27
1201,Woodstock,19
1202,Woodward,49
1203,Woonsocket,29
1204,Wrightstown (use Newtown for GPS),11
